Sample,Receiver,Target_Cliff_dB,Baseline_SINR_dB,True_SINR_dB,True_Margin_dB,Pred_SINR_dB,Pred_Margin_dB,True_P2_Sum,Pred_P2_Sum,Crash_Flag
1,1,20.0,41.25,20.77,0.77,23.74,3.74,2,1,0
1,2,20.0,40.53,27.74,7.74,30.52,10.52,2,1,0
1,3,20.0,38.24,21.58,1.58,24.5,4.5,2,1,0
2,1,20.0,45.72,20.22,0.22,20.22,0.22,15,15,0
2,2,20.0,44.27,21.84,1.84,21.84,1.84,15,15,0
2,3,20.0,44.21,22.96,2.96,22.96,2.96,15,15,0
3,1,20.0,47.77,29.84,9.84,22.49,2.49,2,11,0
3,2,20.0,39.51,20.36,0.36,13.0,-7.0,2,11,1
3,3,20.0,39.92,25.94,5.94,18.68,-1.32,2,11,1
4,1,20.0,46.31,46.31,26.31,19.37,-0.63,0,1,1
4,2,20.0,47.69,47.69,27.69,34.79,14.79,0,1,0
4,3,20.0,41.33,41.33,21.33,27.9,7.9,0,1,0
5,1,20.0,41.69,41.69,21.69,27.66,7.66,0,1,0
5,2,20.0,40.86,40.86,20.86,19.01,-0.99,0,1,1
5,3,20.0,45.49,45.49,25.49,27.55,7.55,0,1,0
6,1,20.0,42.52,31.58,11.58,31.58,11.58,1,1,0
6,2,20.0,45.72,31.82,11.82,31.82,11.82,1,1,0
6,3,20.0,42.8,21.05,1.05,21.05,1.05,1,1,0
7,1,20.0,41.34,20.75,0.75,17.75,-2.25,3,6,1
7,2,20.0,45.59,32.13,12.13,29.22,9.22,3,6,0
7,3,20.0,46.43,21.09,1.09,18.08,-1.92,3,6,1
8,1,20.0,38.14,21.69,1.69,21.69,1.69,1,1,0
8,2,20.0,43.86,22.92,2.92,22.92,2.92,1,1,0
8,3,20.0,47.41,33.85,13.85,33.85,13.85,1,1,0
9,1,20.0,40.86,20.67,0.67,20.67,0.67,17,17,0
9,2,20.0,45.31,20.08,0.08,20.08,0.08,17,17,0
